index,first_x,first_y,second_x,second_y,distance,angle_difference
1,264,424,376,968,0.27569,0.0
2,372,124,500,648,0.281374,0.0
3,1060,404,1200,980,0.289335,0.0
4,424,68,556,588,0.307629,0.0
5,1240,332,1400,932,0.336517,10.0
6,416,48,548,568,0.357119,0.0
7,1348,160,1524,740,0.42892,10.0
8,156,100,276,612,0.437568,0.0
9,1364,388,1520,1000,0.446969,0.0
10,440,72,572,596,0.451013,0.0
11,1304,132,1476,704,0.456238,10.0
12,368,176,492,712,0.4639,0.0
13,468,364,588,916,0.466519,0.0
14,424,132,556,660,0.505549,0.0
15,984,268,1132,832,0.509999,10.0
16,96,476,208,1020,0.521012,0.0
17,1280,200,1448,780,0.546263,10.0
18,212,436,324,984,0.547663,10.0
19,1036,404,1180,984,0.638532,10.0
20,1248,384,600,400,0.675429,10.0
21,1396,980,440,732,0.728125,20.0
22,960,1004,64,760,0.745939,10.0
23,252,328,716,1020,0.770388,20.0
